 *****************************************************************************
 *****************************************************************************

  LOG10[Cross sections] for Hydrogen for all (n,l) states up to n=30
  Cross-sctions are in program units (i.e. cgs unit*10^10)
  Created 22-Nov-1996 using OUT_HYDL based on HDYCROSSL.
 
  Format N, L, # of data points.

 *****************************************************************************
 *****************************************************************************

 30                 !Maximum principal quantum number
 97                 !Number of values per cross-section
 0.0D0              !L_ST_U
 0.041392685        !L_DEL_U
                              
           1           0          97
  -7.200424      -7.311327      -7.423296      -7.536338      -7.650442    
  -7.765582      -7.881725      -7.998835      -8.116873      -8.235804    
  -8.355594      -8.476213      -8.597631      -8.719822      -8.842762    
  -8.966429      -9.090799      -9.215854      -9.341573      -9.467938    
  -9.594934      -9.722541      -9.850743      -9.979527      -10.10887    
  -10.23877      -10.36920      -10.50015      -10.63160      -10.76355    
  -10.89597      -11.02885      -11.16219      -11.29596      -11.43015    
  -11.56475      -11.69975      -11.83513      -11.97089      -12.10700    
  -12.24347      -12.38027      -12.51739      -12.65483      -12.79257    
  -12.93060      -13.06891      -13.20750      -13.34635      -13.48545    
  -13.62479      -13.76436      -13.90416      -14.04417      -14.18440    
  -14.32482      -14.46543      -14.60623      -14.74720      -14.88834    
  -15.02965      -15.17111      -15.31272      -15.45447      -15.59636    
  -15.73839      -15.88054      -16.02281      -16.16519      -16.30769    
  -16.45029      -16.59299      -16.73580      -16.87869      -17.02168    
  -17.16474      -17.30789      -17.45112      -17.59442      -17.73780    
  -17.88124      -18.02475      -18.16831      -18.31194      -18.45563    
  -18.59937      -18.74316      -18.88700      -19.03089      -19.17482    
  -19.31879      -19.46281      -19.60687      -19.75096      -19.89509    
  -20.03926      -20.18345    
  
           2           0          97
  -6.830392      -6.917290      -7.005548      -7.095156      -7.186104    
  -7.278379      -7.371971      -7.466866      -7.563052      -7.660515    
  -7.759242      -7.859220      -7.960433      -8.062870      -8.166513    
  -8.271349      -8.377359      -8.484530      -8.592844      -8.702283    
  -8.812828      -8.924460      -9.037162      -9.150912      -9.265692    
  -9.381478      -9.498252      -9.615990      -9.734672      -9.854274    
  -9.974775      -10.09615      -10.21839      -10.34145      -10.46532    
  -10.58998      -10.71540      -10.84156      -10.96845      -11.09603    
  -11.22428      -11.35319      -11.48273      -11.61288      -11.74363    
  -11.87495      -12.00681      -12.13921      -12.27213      -12.40554    
  -12.53942      -12.67377      -12.80855      -12.94377      -13.07939    
  -13.21541      -13.35180      -13.48856      -13.62567      -13.76311    
  -13.90088      -14.03895      -14.17732      -14.31598      -14.45491    
  -14.59410      -14.73354      -14.87322      -15.01313      -15.15326    
  -15.29360      -15.43415      -15.57489      -15.71581      -15.85691    
  -15.99818      -16.13961      -16.28120      -16.42294      -16.56481    
  -16.70683      -16.84897      -16.99124      -17.13362      -17.27612    
  -17.41873      -17.56144      -17.70424      -17.84715      -17.99014    
  -18.13322      -18.27638      -18.41962      -18.56294      -18.70632    
  -18.84978      -18.99330    
  
           2           1          97
